NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,인천광역시 동구 만석동,127,127,0,만석웰카운티,75.9238,202310,12,"24,500",101,10,-,-,2014,화도진로 142,-,직거래,-,23.10.30
2,인천광역시 동구 만석동,43-79,43,79,만석3,42.19,202310,25,"10,000",-,3,-,-,1991,인중로 379,-,직거래,-,23.11.01
3,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,52.92,202310,26,"16,500",103,21,-,-,2002,화도진로 187,-,중개거래,인천 동구,23.12.20
4,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,84.63,202311,20,"26,000",114,8,-,-,2002,화도진로 187,-,중개거래,인천 남동구 인천 동구,23.12.26
5,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202311,21,"18,500",102,7,-,-,2002,화도진로 187,-,중개거래,인천 동구,23.12.22
6,인천광역시 동구 만석동,127,127,0,만석웰카운티,75.9238,202311,28,"30,000",101,6,-,-,2014,화도진로 142,-,중개거래,인천 동구,24.01.15
7,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202312,2,"19,500",106,6,-,-,2002,화도진로 187,-,중개거래,인천 동구,23.12.29
8,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202401,10,"17,700",108,18,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.02.26
9,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202401,15,"21,400",105,20,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.03.27
10,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202401,19,"18,500",103,10,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.02.29
11,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202401,28,"18,300",103,5,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.02.29
12,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202401,29,"20,000",111,7,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.04.15
13,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,84.63,202401,29,"25,500",106,6,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.02.29
14,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,84.63,202402,1,"24,500",115,3,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.02.19
15,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,84.63,202402,3,"27,200",-,18,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,-
16,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.85,202402,3,"17,500",108,2,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.03.26
17,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.85,202402,5,"17,900",111,5,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.03.15
18,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,49.79,202402,17,"14,500",109,2,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.03.06
19,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202402,18,"17,750",104,16,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.04.18
20,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202402,27,"18,500",102,8,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.04.19
21,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.85,202305,6,"17,900",105,2,-,-,2002,화도진로 187,-,중개거래,인천 동구,23.07.17
22,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202403,9,"17,500",108,16,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.04.18
23,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,84.63,202403,16,"27,500",-,14,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,-
24,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.85,202403,19,"17,500",-,12,법인,개인,2002,화도진로 187,-,중개거래,인천 동구,-
25,인천광역시 동구 만석동,122,122,0,만석비치타운 주공아파트,59.63,202404,2,"17,600",103,12,개인,개인,2002,화도진로 187,-,중개거래,인천 동구,24.04.08
